iter	Passed	Remaining
204	45254	214354
205	45428	213912
206	45621	213559
207	45803	213161
208	45991	212792
209	46217	212600
210	46417	212289
211	46653	212139
212	46856	211846
213	47053	211522
214	47239	211148
215	47414	210731
216	47606	210389
217	47767	209914
218	47954	209555
219	48114	209079
220	48293	208689
221	48471	208295
222	48653	207924
223	48845	207592
224	49030	207235
225	49216	206881
226	49401	206527
227	49595	206214
228	49764	205792
229	49976	205556
230	50186	205306
231	50401	205083
232	50623	204882
233	50834	204640
234	51077	204526
235	51289	204287
236	51493	204016
237	51730	203878
238	51952	203680
239	52173	203477
240	52367	203168
241	52585	202952
242	52742	202504
243	52933	202187
244	53107	201806
245	53286	201450
246	53477	201136
247	53653	200767
248	53892	200635
249	54128	200490
250	54361	200337
251	54669	200455
252	54908	200320
253	55118	200076
254	55341	199879
255	55562	199677
256	55798	199527
257	56089	199574
258	56311	199372
259	56520	199125
260	56724	198861
261	56942	198646
262	57180	198502
263	57383	198232
264	57731	198465
265	58053	198605
266	58328	198579
267	58669	198775
268	58991	198904
269	59266	198871
270	59579	198963
271	59833	198859
272	60066	198681
273	60288	198468
274	60492	198194
275	60722	198006
276	60984	197924
277	61350	198176
278	61603	198058
279	61811	197797
280	62016	197526
281	62213	197229
282	62375	196823
283	62539	196428
284	62719	196079
285	62908	195764
286	63068	195359
287	63238	194986
288	63547	195039
289	63760	194800
290	63940	194459
291	64113	194097
292	64294	193762
293	64475	193425
294	64658	193098
295	64849	192796
296	65026	192451
297	65208	192124
298	65393	191807
299	65595	191538
300	65784	191233
301	65965	190907
302	66146	190580
303	66280	190121
304	66443	189744
305	66769	189834
306	67027	189729
307	67238	189489
308	67393	189094
309	67543	188685
310	67761	188469
311	67936	188131
312	68119	187817
313	68307	187520
314	68482	187186
315	68646	186822
316	68839	186541
317	69041	186280
318	69236	186005
319	69384	185603
320	69564	185288
321	69737	184955
322	69929	184675
323	70121	184393
324	70285	184040
325	70489	183790
326	70697	183553
327	70850	183174
328	70997	182781
329	71197	182523
330	71373	182207
331	71533	181851
332	71705	181524
333	71865	181170
334	71954	180637
335	72105	180264
336	72270	179925
337	72445	179612
338	72616	179291
339	72807	179020
340	72959	178654
341	73124	178321
342	73280	177966
343	73429	177597
344	73656	177417
345	73822	177088
346	73994	176776
347	74152	176432
348	74343	176167
349	74503	175827
350	74683	175538
351	74839	175192
352	75004	174868
353	75195	174606
354	75376	174322
355	75566	174056
356	75703	173671
357	75857	173328
358	76012	172987
359	76181	172678
360	76373	172422
361	76531	172091
362	76731	171853
363	76915	171581
364	77087	171282
365	77270	171009
366	77466	170763
367	77640	170471
368	77824	170202
369	77945	169793
370	78120	169507
371	78385	169412
372	78593	169196
373	78753	168877
374	78931	168597
375	79120	168342
376	79298	168062
377	79495	167823
378	79680	167559
379	79847	167259
380	80022	166976
381	80200	166699
382	80382	166431
383	80561	166158
384	80716	165836
385	80902	165578
386	81062	165267
387	81255	165024
388	81401	164686
389	81568	164391
390	81732	164092
391	81891	163783
392	82057	163489
393	82246	163241
394	82435	162993
395	82628	162753
396	82799	162470
397	82969	162187
398	83124	161873
